0.440573220777818,
0.913952566519699,
-0.5806061749245827,
0.006335233026643139,
0.15358800450054985,
0.0022225491444751006,
0.7210381792101922,
0.1120630093444553,
-2.14333678197412,
-0.31170038697439206,
-0.18372895915883242,
0.446940392500627,
-0.34342267963217604,
-0.05086049707212164,
0.35414626440062363,
-0.17842258231273384,
0.5040282476701381,
0.04916160280239619,
0.4057509407746545,
-0.04281422051048431,
