0.43696812194497425,
13.310286883447027,
0.6960410375962414,
2.240660866972589,
-5.382345021082231,
-13.38040175969371,
-3.8993667415314968,
0.1178923570674995,
-0.27893145810166997,
0.9320675453409893,
-0.29663168239871507,
-0.22071867003702297,
-0.46333773003405104,
-1.319687041594084,
-0.22007358708778227,
-0.5271304651182533,
0.769654120648875,
-0.14464752471445036,
0.4957867536303186,
2.8212368872065854,
-0.7332170351744771,
9.527867059399064,
0.5988588696371281,
-0.9113039658109634,
0.1047924263130384,
-0.7285862271122052,
0.017955828478115183,
-0.21106551495759268,
0.2935038225645587,
-0.135599433044692,
1.2458639993776088,
-5.277530452415587,
-0.13468631751803456,
-1.7952296797747673,
-0.029556711287514043,
-0.06303707908355456,
0.867215688851186,
1.8654633828541793,
0.5631812497144876,
-0.00476032405463992,
0.00046558202694777824,
-0.05001939335111997,
0.006754622502475329,
0.00026658593888777797,
0.01407809215222386,
0.13683575669865097,
0.0039069269834168165,
0.007486546473032277,
-0.01913662754889659,
0.01744298766643207,
-0.01710691415705772,
-0.44643849328922125,
0.01650904530946045,
-1.3615337744870348,
-0.042945807573910165,
0.06539860058091775,
-0.0060711245250822275,
0.06487478585598903,
0.02213802201487771,
0.004839759804576534,
0.003725046552800233,
-0.0005195110338499009,
-0.013858353440798419,
