-0.8465349267786687,
1.1783109022197353,
1.0457826095020528,
-0.6877532894769377,
1.1433973463242961,
0.31299985483697484,
0.20560947638334934,
-0.20916639439763074,
-0.44682446260718195,
0.41958900085054024,
0.1626916108766676,
0.13299027538040442,
0.189246727870301,
0.6439823340042531,
0.03569572481030406,
-0.30989148595981864,
-0.19308536203274548,
0.4874051973776193,
0.6664883667235558,
-1.588287951923208,
-0.3772208278841904,
-0.14260937960194733,
-0.3222290571368908,
0.059806871118374245,
-0.5048246546955856,
-0.0015516858744703261,
0.20196472726705078,
-0.09104280385407061,
0.6266791311374944,
-0.4379859631952985,
0.4852125511067664,
-1.0205968329648683,
