-0.26434630039866663,
1.0676979975604346,
0.521371343408524,
-0.3695715360804265,
0.20681990259624664,
0.3719955142092423,
-0.12000519844778701,
-0.12104464645014462,
-0.3271095469409861,
0.15036863511312032,
0.04755061214948523,
0.09396728054457779,
-0.1483444067249275,
0.19037965969864107,
-0.39599994573371516,
0.0022856005000248822,
-0.13045216587774358,
0.4699784063317221,
0.07898063034830546,
-0.48665006356362234,
-0.586689360629515,
-0.18335002027108263,
-0.05644963228433333,
-0.005883458367947071,
-0.2140089168752478,
0.11740527510656205,
0.20742538697954654,
-0.06303955185405402,
0.5282678245873041,
0.06138876387135104,
0.3541255356635291,
0.5912806409676502,
