1.0196652720008923,
0.28443531446648923,
0.820097808395592,
-0.48258293242644196,
0.6088689429764838,
0.5647236569150454,
0.6139131685462733,
-0.8659576245720563,
0.3571383417377496,
-2.4023189303086827,
